Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Using Facial Expressions Depicting Emotions in a Human-Computer Interface Intended for People with Autism","Intelligent Virtual Agents","","","","10.1007/11550617_41","O. GrynszpanJ. -C. MartinJ. Nadel","2005","http://link.springer.com/chapter/10.1007/11550617_41","Chapter"
"An Interactive Tangram Game for Children with Autism","Intelligent Virtual Agents","","","","10.1007/978-3-319-47665-0_63","Beatriz BernardoPatrícia Alves-OliveiraMaria Graça SantosFrancisco S. MeloAna Paiva","2016","http://link.springer.com/chapter/10.1007/978-3-319-47665-0_63","Chapter"
"Animated Faces, Abstractions and Autism","Intelligent Virtual Agents","","","","10.1007/978-3-319-09767-1_3","Diana ArellanoVolker HelzleUlrich Max SchallerReinhold Rauh","2014","http://link.springer.com/chapter/10.1007/978-3-319-09767-1_3","Chapter"
"On the Trail of Facial Processing in Autism Spectrum Disorders","Intelligent Virtual Agents","","","","10.1007/978-3-319-21996-7_46","Diana ArellanoUlrich Max SchallerReinhold RauhVolker HelzleMarc SpickerOliver Deussen","2015","http://link.springer.com/chapter/10.1007/978-3-319-21996-7_46","Chapter"
"Building Autonomous Social Partners for Autistic Children","Intelligent Virtual Agents","","","","10.1007/978-3-642-33197-8_5","Sara BernardiniKaska Porayska-PomstaTim J. SmithKaterina Avramides","2012","http://link.springer.com/chapter/10.1007/978-3-642-33197-8_5","Chapter"
"Designing an Educational Game Facilitating Children’s Understanding of the Development of Social Relationships Using IVAs with Social Group Dynamics","Intelligent Virtual Agents","","","","10.1007/978-3-642-04380-2_63","Wan Ching HoKerstin Dautenhahn","2009","http://link.springer.com/chapter/10.1007/978-3-642-04380-2_63","Chapter"
"The LISSA Virtual Human and ASD Teens: An Overview of Initial Experiments","Intelligent Virtual Agents","","","","10.1007/978-3-319-47665-0_55","Seyedeh Zahra RazaviMohammad Rafayet AliTristram H. SmithLenhart K. SchubertMohammed (Ehsan) Hoque","2016","http://link.springer.com/chapter/10.1007/978-3-319-47665-0_55","Chapter"
"Virtual Reality Negotiation Training System with Virtual Cognitions","Intelligent Virtual Agents","","","","10.1007/978-3-319-67401-8_14","Ding DingFranziska BurgerWillem-Paul BrinkmanMark A. Neerincx","2017","http://link.springer.com/chapter/10.1007/978-3-319-67401-8_14","Chapter"
"Affective Robots as Mediators in Smart Environments","Intelligent Virtual Agents","","","","10.1007/11821830_40","Gianni CozzolongoBerardina De Carolis","2006","http://link.springer.com/chapter/10.1007/11821830_40","Chapter"
"BDI-Based Development of Virtual Characters with a Theory of Mind","Intelligent Virtual Agents","","","","10.1007/978-3-642-04380-2_7","Michal P. SindlarMehdi M. DastaniJohn-Jules Ch. Meyer","2009","http://link.springer.com/chapter/10.1007/978-3-642-04380-2_7","Chapter"
"Pedagogical Agents to Support Embodied, Discovery-Based Learning","Intelligent Virtual Agents","","","","10.1007/978-3-319-67401-8_1","Ahsan AbdullahMohammad AdilLeah RosenbaumMiranda ClemmonsMansi ShahDor AbrahamsonMichael Neff","2017","http://link.springer.com/chapter/10.1007/978-3-319-67401-8_1","Chapter"
"Socially Intelligent Tutor Agents","Intelligent Virtual Agents","","","","10.1007/978-3-540-39396-2_56","Dirk HeylenAnton NijholtRieks op den AkkerMaarten Vissers","2003","http://link.springer.com/chapter/10.1007/978-3-540-39396-2_56","Chapter"
"Using Virtual Characters to Study Human Social Cognition","Intelligent Virtual Agents","","","","10.1007/978-3-319-47665-0_62","Antonia HamiltonXueni Sylvia PanPaul ForbesJo Hale","2016","http://link.springer.com/chapter/10.1007/978-3-319-47665-0_62","Chapter"
"A Second Chance to Make a First Impression? How Appearance and Nonverbal Behavior Affect Perceived Warmth and Competence of Virtual Agents over Time","Intelligent Virtual Agents","","","","10.1007/978-3-642-33197-8_13","Kirsten BergmannFriederike EysselStefan Kopp","2012","http://link.springer.com/chapter/10.1007/978-3-642-33197-8_13","Chapter"
"Impact of Expressive Wrinkles on Perception of a Virtual Character’s Facial Expressions of Emotions","Intelligent Virtual Agents","","","","10.1007/978-3-642-04380-2_24","Matthieu CourgeonStéphanie BuisineJean-Claude Martin","2009","http://link.springer.com/chapter/10.1007/978-3-642-04380-2_24","Chapter"
"On the Sociability of a Game-Playing Agent: A Software Framework and Empirical Study","Intelligent Virtual Agents","","","","10.1007/978-3-319-09767-1_6","Morteza BehroozCharles RichCandace Sidner","2014","http://link.springer.com/chapter/10.1007/978-3-319-09767-1_6","Chapter"
