"Contents of the DL"
"CONTENT TYPE","TITLE","ABBR","ISSN","e-ISSN","PUBLICATION RANGE: START","PUBLICATION RANGE: LATEST PUBLISHED","SHORTCUT URL","ARCHIVE URL"
"Journals","ACM Computing Surveys ","ACM Comput. Surv.","0360-0300","1557-7341","Volume 1 Issue 1 (March 1969)","Volume 52 Issue 2 (May 2019)","http://dl.acm.org/citation.cfm?id=J204","http://dl.acm.org/citation.cfm?id=J204&picked=prox"
"Journals","ACM Journal of Computer Documentation ","ACM J. Comput. Doc.","1527-6805","1557-9441","Volume 24 Issue 1 (Feb. 1, 2000)","Volume 26 Issue 4 (November 2002)","http://dl.acm.org/citation.cfm?id=J24","http://dl.acm.org/citation.cfm?id=J24&picked=prox"
"Journals","ACM Journal on Emerging Technologies in Computing Systems ","J. Emerg. Technol. Comput. Syst.","1550-4832","1550-4840","Volume 1 Issue 1 (April 2005)","Volume 15 Issue 3 (May 2019)","http://dl.acm.org/citation.cfm?id=J967","http://dl.acm.org/citation.cfm?id=J967&picked=prox"
"Journals","Journal of Data and Information Quality ","J. Data and Information Quality","1936-1955","1936-1963","Volume 1 Issue 1 (June 2009)","Volume 11 Issue 2 (May 2019) - On the Horizon, Experience Paper and Regular Papers","http://dl.acm.org/citation.cfm?id=J1191","http://dl.acm.org/citation.cfm?id=J1191&picked=prox"
"Journals","Journal of Experimental Algorithmics ","J. Exp. Algorithmics","1084-6654","1084-6654","Volume 1 (1996)","Volume 24 Issue 1 (April 2019)","http://dl.acm.org/citation.cfm?id=J430","http://dl.acm.org/citation.cfm?id=J430&picked=prox"
"Journals","Journal of the ACM ","J. ACM","0004-5411","1557-735X","Volume 1 Issue 1 (Jan. 1954)","Volume 66 Issue 2 (April 2019)","http://dl.acm.org/citation.cfm?id=J401","http://dl.acm.org/citation.cfm?id=J401&picked=prox"
"Journals","Journal on Computing and Cultural Heritage ","J. Comput. Cult. Herit.","1556-4673","1556-4711","Volume 1 Issue 1 (June 2008)","Volume 12 Issue 2 (May 2019)","http://dl.acm.org/citation.cfm?id=J1157","http://dl.acm.org/citation.cfm?id=J1157&picked=prox"
"Journals","Journal on Educational Resources in Computing ","J. Educ. Resour. Comput.","1531-4278","1531-4278","Volume 1 Issue 1es (March 2001)","Volume 19 Issue 2 (January 2019)","http://dl.acm.org/citation.cfm?id=J814","http://dl.acm.org/citation.cfm?id=J814&picked=prox"
"Journals","Proceedings of the ACM on Computer Graphics and Interactive Techniques","Proc. ACM Comput. Graph. Interact. Tech.","","2577-6193","Volume 1 Issue 1 (July 2018)","Volume 1 Issue 2 (August 2018)","http://dl.acm.org/citation.cfm?id=J1615","http://dl.acm.org/citation.cfm?id=J1615&picked=prox"
"Journals","Proceedings of the ACM on Human-Computer Interaction","Proc. ACM Hum.-Comput. Interact.","","2573-0142","Volume 1 Issue EICS (June 2017)","Volume 2 Issue CSCW (November 2018) - CSCW","http://dl.acm.org/citation.cfm?id=J1598","http://dl.acm.org/citation.cfm?id=J1598&picked=prox"
"Journals","Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies","Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.","","2474-9567","Volume 1 Issue 1 (March 2017)","Volume 3 Issue 1 (March 2019)","http://dl.acm.org/citation.cfm?id=J1566","http://dl.acm.org/citation.cfm?id=J1566&picked=prox"
"Journals","Proceedings of the ACM on Measurement and Analysis of Computing Systems","Proc. ACM Meas. Anal. Comput. Syst.","","2476-1249","Volume 1 Issue 1 (June 2017)","Volume 3 Issue 1 (March 2019) - SIGMETRICS","http://dl.acm.org/citation.cfm?id=J1567","http://dl.acm.org/citation.cfm?id=J1567&picked=prox"
"Journals","Proceedings of the ACM on Programming Languages","Proc. ACM Program. Lang.","","2475-1421","Volume 1 Issue ICFP (September 2017)","Volume 3 Issue POPL (January 2019)","http://dl.acm.org/citation.cfm?id=J1568","http://dl.acm.org/citation.cfm?id=J1568&picked=prox"
"Transactions","ACM Letters on Programming Languages and Systems ","ACM Lett. Program. Lang. Syst.","1057-4514","1557-7384","Volume 1 Issue 1 (March 1992)","Volume 2 Issue 1-4 (March&#8211;Dec. 1993)","http://dl.acm.org/citation.cfm?id=J513","http://dl.acm.org/citation.cfm?id=J513&picked=prox"
"Transactions","ACM Transactions on Accessible Computing ","ACM Trans. Access. Comput.","1936-7228","1936-7236","Volume 1 Issue 1 (May 2008)","Volume 12 Issue 1 (February 2019)","http://dl.acm.org/citation.cfm?id=J1156","http://dl.acm.org/citation.cfm?id=J1156&picked=prox"
"Transactions","ACM Transactions on Algorithms ","ACM Trans. Algorithms","1549-6325","1549-6333","Volume 1 Issue 1 (July 2005)","Volume 15 Issue 3 (May 2019)","http://dl.acm.org/citation.cfm?id=J982","http://dl.acm.org/citation.cfm?id=J982&picked=prox"
"Transactions","ACM Transactions on Applied Perception ","ACM Trans. Appl. Percept.","1544-3558","1544-3965","Volume 1 Issue 1 (July 2004)","Volume 16 Issue 2 (March 2019)","http://dl.acm.org/citation.cfm?id=J932","http://dl.acm.org/citation.cfm?id=J932&picked=prox"
"Transactions","ACM Transactions on Architecture and Code Optimization ","ACM Trans. Archit. Code Optim.","1544-3566","1544-3973","Volume 1 Issue 1 (March 2004)","Volume 16 Issue 2 (April 2019)","http://dl.acm.org/citation.cfm?id=J924","http://dl.acm.org/citation.cfm?id=J924&picked=prox"
"Transactions","ACM Transactions on Asian Language Information Processing ","","1530-0226","1558-3430","Volume 1 Issue 1 (March 2002)","Volume 13 Issue 4 (December 2014)","http://dl.acm.org/citation.cfm?id=J820","http://dl.acm.org/citation.cfm?id=J820&picked=prox"
