,,,,,,,
,,,,,,,
,,,,,,,
,,Clip Description,Link,,Tag 1,Tag 2,Extra Resource
,,,,,,,
,,Dorkes:,,,,,
,,SM64 - Watch for Rolling Rocks - 0.5x A Presses,https://www.youtube.com/watch?v=kpk2tdsPh0A,,Nintendo,Mario 64,
,,Computer program that learns to play classic NES games (Part 1),https://www.youtube.com/watch?v=xOCurBYI_gY,,Nintendo,NES,
,,"NES AI Learnfun & Playfun, ep. 2: Zelda, Punch-Out, stocks, etc. (Part 2)",https://www.youtube.com/watch?v=YGJHR9Ovszs,,Nintendo,NES,
,,"ES AI Learnfun & Playfun, ep. 3: Gradius, pinball, ice hockey, mario updates, etc (Part 3)",https://www.youtube.com/watch?v=Q-WgQcnessA,,Nintendo,NES,
,,Head Tracking for Desktop VR Displays using the WiiRemote,https://www.youtube.com/watch?v=Jd3-eiid-Uw,,Nintendo,Wii,
,,The Complete Call of Duty Single Player Campaign Critique (For PC),https://www.youtube.com/watch?v=AvN51r1o1Nc,,Call of Duty,Critique,
,,Tasbot does Tasblock - Awesome Games Done Quick 2017 - Part 170,https://www.youtube.com/watch?v=Ukq29ePnTqI&feature=youtu.be&t=55m19s,,,Streaming,
,,SIMCITY 3000 - MAGNASANTI - 6 MILLION - ABSOLUTE MAXIMUM.flv,https://www.youtube.com/watch?v=NTJQTc-TqpU,,Sim City,,
,,Drum Souls - Ornstein and Smough,https://www.youtube.com/watch?v=02my_zhX4Bs,,Dark Souls,,
,,Tropes vs Women in Video Games (Playlist),https://www.youtube.com/watch?v=X6p5AZp7r_Q&list=PLn4ob_5_ttEaA_vc8F3fjzE62esf9yP61,,Feminist Frequency,,
,,"[TAS] Super Mario World ""Arbitrary Code Execution"" in 02:25.19 by Masterjun",https://www.youtube.com/watch?v=OPcV9uIY5i4,,Super Mario World,SNES,
,,A New Impossible Coin,https://www.youtube.com/watch?v=iPILIf7ru48,,Nintendo,Mario 64,
,,The Unbearable Now: An Interpretation of The Witness,https://www.youtube.com/watch?v=NOJC62t4JfA&t=2s,,The Witness,,
,,Mario Kart Wii: The History of the Ultra Shortcut,https://www.youtube.com/watch?v=mmJ_LT8bUj0,,Nintendo,Mario Kart: Wii,
,,,,,,,
,,,,,,,
,,,,,,,
,,ESPORTS:,,,,,
,,Streetfighter III Tournament - Daigo's Comeback,https://www.youtube.com/watch?v=xSGW7CwD5GM,,ESO,,
,,"Universe $6,000,000 Echo Slam Dunk Dota 2 TI5",https://www.youtube.com/watch?v=3ElXGllTpp0,,DOTA 2,,
,,s1mple throws AWP over the wall and wins the round - CSGO,https://www.youtube.com/watch?v=DRnFGgDP0qA,,CS:GO,,
,,IEM Global Finals - Orange 1 v 2 kill explained,https://www.youtube.com/watch?v=Gy8UZR72o9c&feature=youtu.be,,WoW,,
,,Na`Vi.Dendi Pudge fountain hooks vs Tongfu @ TI3 DotA 2 gameplay,https://www.youtube.com/watch?v=oB0tUrfDz6A,,DOTA 2,,
,,,,,,,
,,,,,,,
,,,,,,,
,,MEME:,,,,,
,,Leeroy Jenkins,https://www.youtube.com/watch?v=mLyOj_QD4a4,,WoW,,
,,Luigi Ridin' Dirty - Death Stare in Mario Kart 8,https://www.youtube.com/watch?v=PpxDuNFBVj8,,Nintendo,Luigi,
,,Minecraft FIREE WTFFFFFFF!!!!!,https://www.youtube.com/watch?time_continue=2&v=LnjSWPxJxNs,,Minecraft,,
,,Skate 3 Funny Stuff Compilation #1,https://www.youtube.com/watch?v=vfl33Tn0pYc,,Skate 3,Glitch,
,,Serenity Now - Funeral Crash HD [RE-UPLOAD OF ORIGINAL VIDEO],https://www.youtube.com/watch?v=MEpv7YxnLCQ,,WoW,,
,,Doritos and Mtn Dew XP - An Exclusive Interview with Geoff Keighley,https://www.youtube.com/watch?v=0rbU0mzoMyw,,Dorito Pope,,
,,THE CREATURES GET SWATTED/ Kootra gets arrested during CS:GO stream! HD,https://www.youtube.com/watch?v=SGnPUUQ1ZoA,,Counter Strike,Swatted,
,,Nirvana the Band the Show - Update Day,https://www.youtube.com/watch?v=B_qnI1WrlnU,,Nintendo,Wii,
,,Amazing Oblivion AI,https://www.youtube.com/watch?v=MoKl98C_w-s,,Oblivion,Glitch,
