Last     |  Screen Name      |  Followers           |  Statuses |  Creation |  Name

2016:09  |  CatsLoveSpace    |  6374                |  7600     |  2015:12  |  Cats in space                                       |  Cats in space? Why not? They love it there!                                                                                                                                                            |  No url
2016:11  |  ClockwrkEmpires  |  623                 |  634      |  2012:09  |  Clockwork Empires                                   |  Official outlet of Her Majesty's Ministry for Propaganda and Edification.  @GaslampGames                                                                                                               |  https://t.co/Eb9chdBupy
2017:09  |  WholesomePics    |  763                 |  92       |  2017:03  |  Wholesome Pictures                                  |  Goodness for the soul. Follow: @pupvideo @picturecats @videocats @bengalposts @scotfolds                                                                                                               |  https://www.instagram.com/wholesomephoto
2018:02  |  GameAiConf       |  1236                |  702      |  2010:05  |  Game/AI Conference                                  |  Evolved into @nuclai! July 18-20, Vienna/Austria. The largest independent and most passionate event dedicated to artificial intelligence and creative industry!                                        |  https://gameaiconf.com/
2018:04  |  VelaCannabis     |  317                 |  266      |  2016:07  |  Vela Cannabis                                       |  Premium Cannabis Retailer  located in the SoDo Neighborhood to support wellness, education and community.                                                                                              |  https://velacommunity.com/
2018:10  |  AllInsulin4      |  99                  |  1        |  2018:10  |  CA#insulin4all                                      |  Volunteering to support @t1international for a universal cause of #insulin4all. Specifically advocating for transparency and lower cost of insulin in CA.                                              |  No url
2018:12  |  explainxkcd      |  2603                |  1668     |  2009:08  |  Explain XKCD                                        |  XKCD explained! A simple explanation of the sometimes complicated nerd comic xkcd. (Now we are a wiki!)                                                                                                |  https://t.co/iLjIl5m7Ea
2019:05  |  bcatcomic        |  12416               |  377      |  2014:03  |  Business Cat                                        |  Get the book, Business Cat: Money Power Treats, here: https://t.co/LlgIKmy3oe   or treat yourself to a BC pin: https://t.co/UGEN4F4A4Z                                                                 |  https://t.co/iZtfrM4qZ5
2019:12  |  academography    |  917                 |  212      |  2018:02  |  Academography                                       |  Critical Ethnography & Higher Education  [now an archived project]                                                                                                                                     |  https://academography.org/
2020:01  |  MOinsulin4all    |  269                 |  52       |  2019:01  |  Missouri #insulin4all                               |  Volunteer advocates working together (with support from @t1international) for #insulin4all. We advocate for transparency and lower cost of insulin in Missouri.                                        |  https://www.t1international.com/MO/
2020:08  |  tinystoryseeds   |  2056                |  892      |  2017:02  |  Story Seed Vault                                    |  Micro sci-fi inspired by scientific research and #scicomm. We aim to entertain & educate! // Editor @alex_verdant // Sub-Editor @jacinta_bowler                                                        |  https://storyseedvault.com/
2020:11  |  cliotropic       |  3915                |  43867    |  2009:09  |  Shane Landrum, PhD                                  |  History of US birth certificates & their uses. @Oracle employee. All opinions mine alone.                                                                                                              |  http://cliotropic.org
2021:01  |  HongKongHermit   |  45753               |  118124   |  2014:10  |  Hong Kong Hermit                                    |  95% cat GIFs by weight. Shattered jade. Foreign man in a floral shirt. CIA deep cover operative. Antifa super-soldier. Information Mercenary. Commander. He/him                                        |  No url
2021:02  |  bunnydelphine    |  1626365             |  202      |  2019:06  |  Belle Delphine                                      |  Hello! I'm belle ^-^ I pretend to be a cat  https://t.co/QTdbbvRZmA enquiries.belledelphine@gmail.com                                                                                                  |  No url
2021:02  |  lunasnotherenow  |  2324                |  1472     |  2018:11  |  luna                                                |  i no longer use this account                                                                                                                                                                           |  https://curiouscat.me/mxlunalyra
2021:02  |  NarratedPOTUS    |  32301               |  3600     |  2016:11  |  Narrated President                                  |  Highly professional newsroom dedicated to reporting the activity of the President of the United States.                                                                                                |  No url
