Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Die Berechnung von Schranken für den Wertebereich eines Polynoms in einem Intervall","Computing","","6","1 - 2","10.1007/BF02241731","R. DusselB. Schmitt","1970","http://link.springer.com/article/10.1007/BF02241731","Article"
"Optimale Basiswahl für eine Gleitkomma-Arithmetik","Computing","","11","4","10.1007/BF02239161","Dr. Th. Kreifelts","1973","http://link.springer.com/article/10.1007/BF02239161","Article"
"A numerical method for solving parabolic equations with opposite orientations","Computing","","20","3","10.1007/BF02251947","Dr. W. Hackbusch","1978","http://link.springer.com/article/10.1007/BF02251947","Article"
"On the maximal order in PC-codes","Computing","","20","3","10.1007/BF02251951","Prof. Dr. H. J. Stetter","1978","http://link.springer.com/article/10.1007/BF02251951","Article"
"Hermitesche Kollokation bei Integralgleichungen","Computing","","15","2","10.1007/BF02252862","Priv.-Doz. Dr. M. Feilmeier","1975","http://link.springer.com/article/10.1007/BF02252862","Article"
"Prozeßumschaltungen in Betriebssystemen","Computing","","12","4","10.1007/BF02253339","Prof. Dr. H. Wettstein","1974","http://link.springer.com/article/10.1007/BF02253339","Article"
"Computational complexity of one-step methods for a scalar autonomous differential equation","Computing","","23","4","10.1007/BF02254863","Dr. A. G. Werschulz","1979","http://link.springer.com/article/10.1007/BF02254863","Article"
"Ankündigungen","Computing","","11","1","10.1007/BF02239479","","1973","http://link.springer.com/article/10.1007/BF02239479","Article"
"Prozessorzuteilung unter strengen Zeitbedingungen","Computing","","23","1","10.1007/BF02252611","B. Ziegler","1979","http://link.springer.com/article/10.1007/BF02252611","Article"
"Schnelle Multiplikation großer Zahlen","Computing","","7","3 - 4","10.1007/BF02242355","Doz. Dr. A. SchönhageV. Strassen","1971","http://link.springer.com/article/10.1007/BF02242355","Article"
"Numerically stable computation of step-sizes for descent methods. The nonconvex case","Computing","","18","2","10.1007/BF02243624","Dr. P. Spellucci","1977","http://link.springer.com/article/10.1007/BF02243624","Article"
"Beitrag zur Konstruktiven Computer-Geometrie","Computing","","17","4","10.1007/BF02275641","Dr. H. Seybold","1977","http://link.springer.com/article/10.1007/BF02275641","Article"
"Calculus for interval functions of a real variable","Computing","","22","4","10.1007/BF02265313","S. Markov","1979","http://link.springer.com/article/10.1007/BF02265313","Article"
"Inverse Eigenvalue Problems for Complex Matrices","Computing","","6","3 - 4","10.1007/BF02238818","Dr. G. N. de Oliveria","1970","http://link.springer.com/article/10.1007/BF02238818","Article"
"Konvergenzverhalten bei der numerischen Lösung von Randwertproblemen mittels eines Doppelschichtpotential-Ansatzes","Computing","","21","3","10.1007/BF02253056","Dipl.-Math. Silke Stiller","1979","http://link.springer.com/article/10.1007/BF02253056","Article"
"Buchbesprechungen","Computing","","6","3 - 4","10.1007/BF02238822","E. SchmidW. BarthK. -H. WolffF. OehmeH. Florian","1970","http://link.springer.com/article/10.1007/BF02238822","Article"
"Continuity and condition of the linear approximation problem I","Computing","","10","4","10.1007/BF02242247","Dr. W. Riha","1972","http://link.springer.com/article/10.1007/BF02242247","Article"
"Buchbesprechungen","Computing","","10","4","10.1007/BF02242251","H. J. StetterW. HändlerP. MeisslC. PokornyD. SchornböckN. V. Findler","1972","http://link.springer.com/article/10.1007/BF02242251","Article"
"Numerische Lösung von Anfangswertaufgaben gewöhnlicher Differentialgleichungen n-ter Ordnung","Computing","","14","3","10.1007/BF02246428","Doz. Dr. K. StrehmelDipl.-Math. V. Hoffmann","1975","http://link.springer.com/article/10.1007/BF02246428","Article"
"Übersetzung von Kommandosprachen","Computing","","14","3","10.1007/BF02246432","Dr. Th. Weller","1975","http://link.springer.com/article/10.1007/BF02246432","Article"
"The average height of r-typly rooted planted plane trees","Computing","","25","3","10.1007/BF02242000","Dr. R. Kemp","1980","http://link.springer.com/article/10.1007/BF02242000","Article"
"Explicit calculation of the Lagrangian interval interpolating polynomial","Computing","","9","2","10.1007/BF02236964","J. Rokne","1972","http://link.springer.com/article/10.1007/BF02236964","Article"
"Graphenalgorithmen und Überdeckungsprobleme","Computing","","13","2","10.1007/BF02246611","Ass. Prof. Dr. J. Perl","1974","http://link.springer.com/article/10.1007/BF02246611","Article"
"Mechanisierung von Dreieckskonstruktionen","Computing","","5","2","10.1007/BF02235802","Prof. Dr. H. EhlichProf. Dr. E. Pittnauer","1970","http://link.springer.com/article/10.1007/BF02235802","Article"
"The range of values of a complex polynomial over a complex interval","Computing","","22","2","10.1007/BF02253127","Dr. J. Rokne","1979","http://link.springer.com/article/10.1007/BF02253127","Article"
"Eingrenzung von Lösungen nichtlinearer Gleichungen durch Verfahren mit höherer Konvergenzgeschwindigkeit","Computing","","8","3 - 4","10.1007/BF02234103","Prof. Dr. J. W. Schmidt","1971","http://link.springer.com/article/10.1007/BF02234103","Article"
"On the convergence of the discrete ART algorithm for the reconstruction of digital pictures from their projections","Computing","","21","2","10.1007/BF02253131","J. T. Marti","1979","http://link.springer.com/article/10.1007/BF02253131","Article"
"Algorithm 24 algorithm for deriving the chromatic polynomial of a graph","Computing","","14","1 - 2","10.1007/BF02242318","Dr. K. R. JamesDr. W. Riha","1975","http://link.springer.com/article/10.1007/BF02242318","Article"
"Mathematical and statistical details on the simulation of MARKOFF-Type stochastic processes on an electronic computer","Computing","","3","1","10.1007/BF02238105","Dr. C. LevertDr. J. van Galen","1968","http://link.springer.com/article/10.1007/BF02238105","Article"
"Computer methods for sampling from gamma, beta, poisson and bionomial distributions","Computing","","12","3","10.1007/BF02293108","Dr. J. H. AhrensDr. U. Dieter","1974","http://link.springer.com/article/10.1007/BF02293108","Article"
"Dynamische Optimierung zur allgemeinen Spline-Approximation mit Ungleichungsnebenbedingungen und Anwendung auf Optimierungsberechnungen beim Entwurf von Straßen","Computing","","10","3","10.1007/BF02316907","Dr. H. -J. Schek","1972","http://link.springer.com/article/10.1007/BF02316907","Article"
"Buchbesprechungen","Computing","","12","3","10.1007/BF02293112","H. J. StetterW. BarthI. TrochP. MeisslH. JeramW. JungingerH. UngerW. HändlerH. J. Stetter","1974","http://link.springer.com/article/10.1007/BF02293112","Article"
"Die Distributivität in der Intervallarithmetik","Computing","","5","1","10.1007/BF02234246","Dipl. Math. O. Spaniol","1970","http://link.springer.com/article/10.1007/BF02234246","Article"
"Formal languages of labelled graphs","Computing","","16","1 - 2","10.1007/BF02241984","Dr. M. Nagl","1976","http://link.springer.com/article/10.1007/BF02241984","Article"
"Gleichheit von Produkt und Formalprodukt bei Intervallpolynomen","Computing","","10","3","10.1007/BF02316911","Priv.-Doz. Dr. H. Ratschek","1972","http://link.springer.com/article/10.1007/BF02316911","Article"
"Buchbesprechungen","Computing","","2","1","10.1007/BF02235515","A. FleischmannI. TrochH. ScholzF. SkacelH. FieberH. HornichH. -J. HoffmannW. KnödelH. ZemanekR. GunzenhäuserH. J. StetterF. SchwarzenbergerW. EberlV. Kudielka","1967","http://link.springer.com/article/10.1007/BF02235515","Article"
"Fehlerschranken zu Näherungswerten von Polynomwurzeln","Computing","","6","1 - 2","10.1007/BF02241729","Professor Dr. K. Nickel","1970","http://link.springer.com/article/10.1007/BF02241729","Article"
"Über einen Automaten mit Pufferspeicherung","Computing","","5","1","10.1007/BF02234250","Dr.-Ing. R. Vollmar","1970","http://link.springer.com/article/10.1007/BF02234250","Article"
"Minimizing the bandwidth of sparse symmetric matrices","Computing","","11","2","10.1007/BF02252900","Dr. K. Y. Cheng","1973","http://link.springer.com/article/10.1007/BF02252900","Article"
"Uniqueness theorems for nonlinear L2-approximation problems","Computing","","11","4","10.1007/BF02239159","Dr. J. Spieß","1973","http://link.springer.com/article/10.1007/BF02239159","Article"
"Ein Einschließungssatz für den absolut größten Eigenwert normaler Operatoren in separablen Hilbert-Räumen","Computing","","6","1 - 2","10.1007/BF02241733","Dr. techn. H. Dirschmid","1970","http://link.springer.com/article/10.1007/BF02241733","Article"
"Zur Konvergenz des Verfahrens der Tangierenden Hyperbeln und des Tschebyscheff-Verfahrens bei konvexen Abbildungen","Computing","","11","4","10.1007/BF02239163","Privatdozent Dr. Götz Alefeld","1973","http://link.springer.com/article/10.1007/BF02239163","Article"
"Ein Abbrechkriterium für einen numerischen Algorithmus","Computing","","20","3","10.1007/BF02251949","Dr. P. Wildenauer","1978","http://link.springer.com/article/10.1007/BF02251949","Article"
"Anregungen aus dem Schnittebenenverfahren für die Lösung des allgemeinen Transportproblems","Computing","","15","2","10.1007/BF02252864","Prof. Dr. D. Braess","1975","http://link.springer.com/article/10.1007/BF02252864","Article"
"Representation of interval operations by coordinates","Computing","","24","2 - 3","10.1007/BF02281714","Prof. Dr. H. Ratschek","1980","http://link.springer.com/article/10.1007/BF02281714","Article"
"L-A-S (Linear Algebra and System) language and its use in control system education and research","Computing","","23","1","10.1007/BF02252609","Prof. S. P. BingulacM. A. Farias","1979","http://link.springer.com/article/10.1007/BF02252609","Article"
"Operationen zur Betriebsmittelsteuerung aufbauend auf Synchronisationsoperationen","Computing","","23","4","10.1007/BF02254865","W. Ballin","1979","http://link.springer.com/article/10.1007/BF02254865","Article"
"Optimal segmented approximations","Computing","","24","1","10.1007/BF02242787","Dr. J. B. Kioustelidis","1980","http://link.springer.com/article/10.1007/BF02242787","Article"
"The collocation method for the numerical approximation of the periodic solutions of functional differential equations","Computing","","23","1","10.1007/BF02252613","Dr. A. Bellen","1979","http://link.springer.com/article/10.1007/BF02252613","Article"
"Zur trigonometrischen Interpolation","Computing","","16","4","10.1007/BF02252080","Dipl.-Ing. Dr. W. Baron","1976","http://link.springer.com/article/10.1007/BF02252080","Article"
"On the complexity of algorithms for the translation of polynomials","Computing","","24","1","10.1007/BF02242791","A. G. Akritas Ph. D. CandidateProf. Dr. S. D. Danielopoulos","1980","http://link.springer.com/article/10.1007/BF02242791","Article"
"HYGOL, eine Sprache für hybride Programme","Computing","","7","3 - 4","10.1007/BF02242357","Dr. Ing. L. Hieber M. Sc.Dipl.-Ing. H. Rzehak","1971","http://link.springer.com/article/10.1007/BF02242357","Article"
"An algorithm for hierarchical reduction and decomposition of a directed graph","Computing","","25","1","10.1007/BF02243881","Prof. Dr. J. Schwarze","1980","http://link.springer.com/article/10.1007/BF02243881","Article"
"Algorithms for the Huber estimator in multiple regression","Computing","","18","2","10.1007/BF02243626","Dr. R. Dutter","1977","http://link.springer.com/article/10.1007/BF02243626","Article"
"Eine Bemerkung über das Minimalglied asymptotischer Potenzreihen","Computing","","7","3 - 4","10.1007/BF02242361","Dozent Dr. F. Pittnauer","1971","http://link.springer.com/article/10.1007/BF02242361","Article"
"Kriterien für die Liapunovstabilität und ihre numerische Anwendung","Computing","","17","4","10.1007/BF02275643","Dipl.-Math. U. ElsaesserProf. Dr. W. Niethammer","1977","http://link.springer.com/article/10.1007/BF02275643","Article"
"Padésche Näherungsbrüche und Iterationsverfahren höherer Ordnung","Computing","","3","3","10.1007/BF02277214","Dr. Gerhard Merz","1968","http://link.springer.com/article/10.1007/BF02277214","Article"
"Abbruch beim Intervall-Gauß-Algorithmus","Computing","","22","4","10.1007/BF02265315","K. Reichmann","1979","http://link.springer.com/article/10.1007/BF02265315","Article"
"On the factorization of special symmetric periodic and non-periodic quindiagonal matrices","Computing","","21","3","10.1007/BF02253058","Prof. D. J. EvansA. Hadjidimos","1979","http://link.springer.com/article/10.1007/BF02253058","Article"
"Einschließung von Nullstellen mit Hilfe einer Intervallarithmetik","Computing","","5","4","10.1007/BF02252330","Dr. R. Krawczyk","1970","http://link.springer.com/article/10.1007/BF02252330","Article"
"Eine Verallgemeinerung von Newton-Interpolation und Neville-Aitken-Algorithmus und deren Anwendung auf die Richardson-Extrapolation","Computing","","10","4","10.1007/BF02242249","Priv.-Doz. Dr. H. Engels","1972","http://link.springer.com/article/10.1007/BF02242249","Article"
"Eine scaling-invariante Pivotsuche für Intervallmatrizen","Computing","","12","2","10.1007/BF02260366","M. Hebgen","1974","http://link.springer.com/article/10.1007/BF02260366","Article"
"Ableitungsfreie Abschätzungen bei trigonometrischer Interpolation und Konjugierten-Bestimmung","Computing","","12","2","10.1007/BF02260370","Prof. Dr. D. Gaier","1974","http://link.springer.com/article/10.1007/BF02260370","Article"
"Optimale Basiswahl für eine Gleitkomma-Arithmetik","Computing","","14","3","10.1007/BF02246434","Dr. Th. Kreifelts","1975","http://link.springer.com/article/10.1007/BF02246434","Article"
"Linear convergence of generalized Weiszfeld's method","Computing","","25","3","10.1007/BF02242002","H. VoßU. Eckhardt","1980","http://link.springer.com/article/10.1007/BF02242002","Article"
"Berichtigung zu: Tabulator-Turingmaschine und Komplexität","Computing","","9","2","10.1007/BF02236966","Dipl.-Math R. Weicker","1972","http://link.springer.com/article/10.1007/BF02236966","Article"
"Positive Interpolationsquadraturen mit teilweise vorgeschriebenen Stützstellen","Computing","","13","2","10.1007/BF02246613","Prof. Dr. H. Engels","1974","http://link.springer.com/article/10.1007/BF02246613","Article"
"Algebraische und metrische Strukturen in der Intervallrechnung und einige Anwendungen","Computing","","5","2","10.1007/BF02235804","Dr. O. Mayer","1970","http://link.springer.com/article/10.1007/BF02235804","Article"
"Initializing algorithms: A note to the article “Computer methods for sampling from gamma, beta, poisson and binomial distributions”","Computing","","22","2","10.1007/BF02253129","N. ApostolopoulosG. Schuff","1979","http://link.springer.com/article/10.1007/BF02253129","Article"
