Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"A λ-unifiability test for set theory","Journal of Automated Reasoning","","4","3","10.1007/BF00244943","Sidney C. Bailin","1988","http://link.springer.com/article/10.1007/BF00244943","Article"
"Publisher's announcement","Journal of Automated Reasoning","","4","1","10.1007/BF00244509","","1988","http://link.springer.com/article/10.1007/BF00244509","Article"
"HARP: A tableau-based theorem prover","Journal of Automated Reasoning","","4","1","10.1007/BF00244513","F. OppacherE. Suen","1988","http://link.springer.com/article/10.1007/BF00244513","Article"
"The concept of dialogue","AI & SOCIETY","","2","4","10.1007/BF01891362","Bo GöranzonMagnus FlorinPehr Sällström","1988","http://link.springer.com/article/10.1007/BF01891362","Article"
"Focusing","International Journal of Computer Vision","","1","3","10.1007/BF00127822","Eric Krotkov","1988","http://link.springer.com/article/10.1007/BF00127822","Article"
"Events","The Visual Computer","","4","2","10.1007/BF01905565","","1988","http://link.springer.com/article/10.1007/BF01905565","Article"
"Transaction management in distributed database system POREL","Journal of Computer Science and Technology","","3","2","10.1007/BF02943339","Hanhu Wang","1988","http://link.springer.com/article/10.1007/BF02943339","Article"
"A natural deduction system of temporal logic","Journal of Computer Science and Technology","","3","3","10.1007/BF02943343","Renwei Li","1988","http://link.springer.com/article/10.1007/BF02943343","Article"
"Parallel, overlapped, and intersected digital straight lines","The Visual Computer","","4","5","10.1007/BF01901280","Son Pham","1988","http://link.springer.com/article/10.1007/BF01901280","Article"
"Keep on trukking","AI & SOCIETY","","2","3","10.1007/BF01908548","David Smith","1988","http://link.springer.com/article/10.1007/BF01908548","Article"
"Women and AI","AI & SOCIETY","","2","3","10.1007/BF01908552","Wendy HallGillian Lovegrove","1988","http://link.springer.com/article/10.1007/BF01908552","Article"
"Mechanics, control and animation: Introduction to the issue","The Visual Computer","","4","6","10.1007/BF01908874","David Zeltzer","1988","http://link.springer.com/article/10.1007/BF01908874","Article"
