Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Urban Intelligence and Applications","Studies in Distributed Intelligence","","","","10.1007/978-3-030-45099-1","Xiaohui YuanDr. Mohamed Elhoseny","2020","http://link.springer.com/book/10.1007/978-3-030-45099-1","Book"
"Advances in Artificial Life, Evolutionary Computation, and Systems Chemistry","Communications in Computer and Information Science","","","","10.1007/978-3-319-57711-1","Federico RossiStefano PiottoSimona Concilio","2017","http://link.springer.com/book/10.1007/978-3-319-57711-1","Book"
"The Neurobiology of Computation","","","","","10.1007/978-1-4615-2235-5","James M. Bower","1995","http://link.springer.com/book/10.1007/978-1-4615-2235-5","Book"
"Hybrid Systems: Computation and Control","Lecture Notes in Computer Science","","","","10.1007/3-540-46430-1","Nancy LynchBruce H. Krogh","2000","http://link.springer.com/book/10.1007/3-540-46430-1","Book"
"Advances in Artificial Life, Evolutionary Computation and Systems Chemistry","Communications in Computer and Information Science","","","","10.1007/978-3-319-32695-5","Federico RossiFabio MavelliPasquale StanoDanilo Caivano","2016","http://link.springer.com/book/10.1007/978-3-319-32695-5","Book"
"Advances in Artificial Life and Evolutionary Computation","Communications in Computer and Information Science","","","","10.1007/978-3-319-12745-3","Clara PizzutiGiandomenico Spezzano","2014","http://link.springer.com/book/10.1007/978-3-319-12745-3","Book"
"Energy Minimization Methods in Computer Vision and Pattern Recognition","Lecture Notes in Computer Science","","","","10.1007/3-540-48432-9","Edwin R. HancockMarcello Pelillo","1999","http://link.springer.com/book/10.1007/3-540-48432-9","Book"
"ICANN 98","Perspectives in Neural Computing","","","","10.1007/978-1-4471-1599-1","Lars Niklasson PhDMikael Bodén PhDTom Ziemke MSc","1998","http://link.springer.com/book/10.1007/978-1-4471-1599-1","Book"
"Coherent Structures in Complex Systems","Lecture Notes in Physics","","","","10.1007/3-540-44698-2","David RegueraJosé Miguel RubíLuis López Bonilla","2001","http://link.springer.com/book/10.1007/3-540-44698-2","Book"
"Directions in Mathematical Systems Theory and Optimization","Lecture Notes in Control and Information Sciences","","","","10.1007/3-540-36106-5","Anders RantzerChristopher I. Byrnes","2003","http://link.springer.com/book/10.1007/3-540-36106-5","Book"
"Advances in Computer Simulation","Lecture Notes in Physics","","","","10.1007/BFb0105456","János KertészImre Kondor","1998","http://link.springer.com/book/10.1007/BFb0105456","Book"
"Complex Sciences","Lecture Notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering","","","","10.1007/978-3-319-03473-7","Kristin GlassRichard ColbaughPaul OrmerodJeffrey Tsao","2013","http://link.springer.com/book/10.1007/978-3-319-03473-7","Book"
