Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Journal of Big Data","Journal of Big Data","","1 / 2014 - 9 / 2022","","","","","http://link.springer.com/journal/40537","Journal"
"EPJ Data Science","EPJ Data Science","","1 / 2012 - 11 / 2022","","","","","http://link.springer.com/journal/13688","Journal"
"Optical Networks Magazine","Optical Networks Magazine","","1 / 2000 - 4 / 2003","","","","","http://link.springer.com/journal/11078","Journal"
"User Modeling and User-Adapted Interaction","User Modeling and User-Adapted Interaction","","1 / 1991 - 32 / 2022","","","","","http://link.springer.com/journal/11257","Journal"
"Applied Intelligence","Applied Intelligence","","1 / 1991 - 52 / 2022","","","","","http://link.springer.com/journal/10489","Journal"
"Journal of Mathematical Imaging and Vision","Journal of Mathematical Imaging and Vision","","1 / 1992 - 64 / 2022","","","","","http://link.springer.com/journal/10851","Journal"
"Machine Learning","Machine Learning","","1 / 1986 - 111 / 2022","","","","","http://link.springer.com/journal/10994","Journal"
"Journal of Healthcare Informatics Research","Journal of Healthcare Informatics Research","","1 / 2017 - 6 / 2022","","","","","http://link.springer.com/journal/41666","Journal"
"Journal of Network and Systems Management","Journal of Network and Systems Management","","1 / 1993 - 31 / 2023","","","","","http://link.springer.com/journal/10922","Journal"
"Scientometrics","Scientometrics","","1 / 1979 - 127 / 2022","","","","","http://link.springer.com/journal/11192","Journal"
"International Journal of Computer Vision","International Journal of Computer Vision","","1 / 1987 - 130 / 2022","","","","","http://link.springer.com/journal/11263","Journal"
"Genetic Programming and Evolvable Machines","Genetic Programming and Evolvable Machines","","1 / 2000 - 23 / 2022","","","","","http://link.springer.com/journal/10710","Journal"
"Kognitionswissenschaft","Kognitionswissenschaft","","6 / 1997 - 9 / 2002","","","","","http://link.springer.com/journal/197","Journal"
"Innovations in Systems and Software Engineering","Innovations in Systems and Software Engineering","","1 / 2005 - 18 / 2022","","","","","http://link.springer.com/journal/11334","Journal"
"Natural Computing","Natural Computing","","1 / 2002 - 21 / 2022","","","","","http://link.springer.com/journal/11047","Journal"
"Applicable Algebra in Engineering, Communication and Computing","Applicable Algebra in Engineering, Communication and Computing","","1 / 1990 - 33 / 2022","","","","","http://link.springer.com/journal/200","Journal"
"Autonomous Agents and Multi-Agent Systems","Autonomous Agents and Multi-Agent Systems","","1 / 1998 - 37 / 2023","","","","","http://link.springer.com/journal/10458","Journal"
"Artificial Intelligence Review","Artificial Intelligence Review","","1 / 1986 - 55 / 2022","","","","","http://link.springer.com/journal/10462","Journal"
