Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Recommender Systems in Fashion and Retail","Lecture Notes in Electrical Engineering","","","","10.1007/978-3-030-66103-8","Prof. Nima DokoohakiShatha JaradatHumberto Jesús Corona PampínDr. Reza Shirvany","2021","http://link.springer.com/book/10.1007/978-3-030-66103-8","Book"
"Applications of Artificial Intelligence and Machine Learning","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-19-4831-2","Bhuvan UnhelkerHari Mohan PandeyGaurav Raj","2022","http://link.springer.com/book/10.1007/978-981-19-4831-2","Book"
"New Contributions in Information Systems and Technologies","Advances in Intelligent Systems and Computing","","","","10.1007/978-3-319-16486-1","Alvaro RochaAna Maria CorreiaSandra CostanzoLuis Paulo Reis","2015","http://link.springer.com/book/10.1007/978-3-319-16486-1","Book"
"Information Science and Applications","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-33-6385-4","Dr. Hyuncheol KimDr. Kuinam J. KimDr. Suhyun Park","2021","http://link.springer.com/book/10.1007/978-981-33-6385-4","Book"
"Big Data Analytics","Advances in Intelligent Systems and Computing","","","","10.1007/978-981-10-6620-7","Prof. Dr. V. B. AggarwalProf. Dr. Vasudha BhatnagarDr. Durgesh Kumar Mishra","2018","http://link.springer.com/book/10.1007/978-981-10-6620-7","Book"
"Proceedings of 2016 Chinese Intelligent Systems Conference","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-10-2338-5","Yingmin JiaJunping DuWeicun ZhangHongbo Li","2016","http://link.springer.com/book/10.1007/978-981-10-2338-5","Book"
"Harmony Search Algorithm","Advances in Intelligent Systems and Computing","","","","10.1007/978-3-662-47926-1","Joong Hoon KimZong Woo Geem","2016","http://link.springer.com/book/10.1007/978-3-662-47926-1","Book"
"Recent Challenges in Intelligent Information and Database Systems","Communications in Computer and Information Science","","","","10.1007/978-981-16-1685-3","Prof. Dr. Tzung-Pei HongKrystian WojtkiewiczRathachai ChawuthaiProf. Pawel Sitek","2021","http://link.springer.com/book/10.1007/978-981-16-1685-3","Book"
"Applications of Artificial Intelligence and Machine Learning","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-16-3067-5","Ankur ChoudharyArun Prakash AgrawalRajasvaran LogeswaranDr. Bhuvan Unhelkar","2021","http://link.springer.com/book/10.1007/978-981-16-3067-5","Book"
"Advances in Usability and User Experience","Advances in Intelligent Systems and Computing","","","","10.1007/978-3-319-60492-3","Tareq AhramChristianne Falcão","2018","http://link.springer.com/book/10.1007/978-3-319-60492-3","Book"
"Frontier Computing","Lecture Notes in Electrical Engineering","","","","10.1007/978-981-10-0539-8","Jason C HungNeil Y. YenKuan-Ching Li","2016","http://link.springer.com/book/10.1007/978-981-10-0539-8","Book"
"Flexible Query Answering Systems 2015","Advances in Intelligent Systems and Computing","","","","10.1007/978-3-319-26154-6","Troels AndreasenHenning ChristiansenJanusz KacprzykHenrik LarsenGabriella PasiOlivier PivertGuy De TréMaria Amparo VilaAdnan YaziciSławomir Zadrożny","2016","http://link.springer.com/book/10.1007/978-3-319-26154-6","Book"
"Advances in Data Science and Information Engineering","Transactions on Computational Science and Computational Intelligence","","","","10.1007/978-3-030-71704-9","Robert StahlbockGary M. WeissMahmoud Abou-NasrCheng-Ying YangDr. Hamid R. ArabniaLeonidas Deligiannidis","2021","http://link.springer.com/book/10.1007/978-3-030-71704-9","Book"
"ROBOT2022: Fifth Iberian Robotics Conference","Lecture Notes in Networks and Systems","","","","10.1007/978-3-031-21062-4","Danilo TardioliVicente MatellánGuillermo HerediaManuel F. SilvaLino Marques","2023","http://link.springer.com/book/10.1007/978-3-031-21062-4","Book"
"Computing, Analytics and Networks","Communications in Computer and Information Science","","","","10.1007/978-981-13-0755-3","Rajnish SharmaArchana MantriDr. Sumeet Dua","2018","http://link.springer.com/book/10.1007/978-981-13-0755-3","Book"
"ICT Innovations 2015","Advances in Intelligent Systems and Computing","","","","10.1007/978-3-319-25733-4","Prof. Suzana LoshkovskaSaso Koceski","2016","http://link.springer.com/book/10.1007/978-3-319-25733-4","Book"
