Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"History of Nordic Computing 4","IFIP Advances in Information and Communication Technology","","","","10.1007/978-3-319-17145-6","Christian GramPer RasmussenSøren Duus Østergaard","2015","http://link.springer.com/book/10.1007/978-3-319-17145-6","Book"
"Membrane Computing","Lecture Notes in Computer Science","","","","10.1007/978-3-642-36751-9","Erzsébet Csuhaj-VarjúMarian GheorgheGrzegorz RozenbergArto SalomaaGyörgy Vaszil","2013","http://link.springer.com/book/10.1007/978-3-642-36751-9","Book"
"History of Computing and Education 2 (HCE2)","IFIP Advances in Information and Communication Technology","","","","10.1007/978-0-387-34741-7","John Impagliazzo","2006","http://link.springer.com/book/10.1007/978-0-387-34741-7","Book"
"Artificial Intelligence in Theory and Practice II","IFIP – The International Federation for Information Processing","","","","10.1007/978-0-387-09695-7","Max Bramer","2008","http://link.springer.com/book/10.1007/978-0-387-09695-7","Book"
"Informatics in the Future","","","","","10.1007/978-3-319-55735-9","Hannes WerthnerFrank van Harmelen","2017","http://link.springer.com/book/10.1007/978-3-319-55735-9","Book"
"Technological Convergence and Social Networks in Information Management","Communications in Computer and Information Science","","","","10.1007/978-3-642-16032-5","Serap KurbanoğluUmut AlPhyllis Lepon ErdoğanYaşar TontaNazan Uçak","2010","http://link.springer.com/book/10.1007/978-3-642-16032-5","Book"
"International Communities of Invention and Innovation","IFIP Advances in Information and Communication Technology","","","","10.1007/978-3-319-49463-0","Arthur TatnallChristopher Leslie","2016","http://link.springer.com/book/10.1007/978-3-319-49463-0","Book"
"Fifth Ifip International Conference On Theoretical Computer Science – Tcs 2008","IFIP International Federation for Information Processing","","","","10.1007/978-0-387-09680-3","Giorgio AusielloJuhani KarhumäkiGiancarlo MauriLuke Ong","2008","http://link.springer.com/book/10.1007/978-0-387-09680-3","Book"
"History of Nordic Computing","IFIP International Federation for Information Processing","","","","10.1007/b104638","Janis Bubenko JrJohn ImpagliazzoArne Sølvberg","2005","http://link.springer.com/book/10.1007/b104638","Book"
"Making the History of Computing Relevant","IFIP Advances in Information and Communication Technology","","","","10.1007/978-3-642-41650-7","Arthur TatnallTilly BlythRoger Johnson","2013","http://link.springer.com/book/10.1007/978-3-642-41650-7","Book"
"History of Nordic Computing 2","IFIP Advances in Information and Communication Technology","","","","10.1007/978-3-642-03757-3","John ImpagliazzoTimo JärviPetri Paju","2009","http://link.springer.com/book/10.1007/978-3-642-03757-3","Book"
"Perspectives on Soviet and Russian Computing","IFIP Advances in Information and Communication Technology","","","","10.1007/978-3-642-22816-2","John ImpagliazzoEduard Proydakov","2011","http://link.springer.com/book/10.1007/978-3-642-22816-2","Book"
"Histories of Computing in Eastern Europe","IFIP Advances in Information and Communication Technology","","","","10.1007/978-3-030-29160-0","Christopher LeslieMartin Schmitt","2019","http://link.springer.com/book/10.1007/978-3-030-29160-0","Book"
"History of Computing in Education","IFIP Advances in Information and Communication Technology","","","","10.1007/b98985","John ImpagliazzoJohn A. N. Lee","2004","http://link.springer.com/book/10.1007/b98985","Book"
"History of Nordic Computing 3","IFIP Advances in Information and Communication Technology","","","","10.1007/978-3-642-23315-9","John ImpagliazzoPer LundinBenkt Wangler","2011","http://link.springer.com/book/10.1007/978-3-642-23315-9","Book"
"The Past and Future of Information Systems: 1976–2006 and Beyond","IFIP International Federation for Information Processing","","","","10.1007/978-0-387-34732-5","David AvisonSteve ElliotJohn KrogstieJan Pries-Heje","2006","http://link.springer.com/book/10.1007/978-0-387-34732-5","Book"
"Modeling and Using Context","Lecture Notes in Computer Science","","","","10.1007/978-3-642-24279-3","Michael BeiglHenning ChristiansenThomas R. Roth-BerghoferAnders Kofod-PetersenKenny R. CoventryHedda R. Schmidtke","2011","http://link.springer.com/book/10.1007/978-3-642-24279-3","Book"
"History of Computing and Education 3 (HCE3)","IFIP Advances in Information and Communication Technology","","","","10.1007/978-0-387-09657-5","John Impagliazzo","2008","http://link.springer.com/book/10.1007/978-0-387-09657-5","Book"
"History and Philosophy of Computing","IFIP Advances in Information and Communication Technology","","","","10.1007/978-3-319-47286-7","Fabio GadducciMirko Tavosanis","2016","http://link.springer.com/book/10.1007/978-3-319-47286-7","Book"
