Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Das PLAKON-Buch","Informatik-Fachberichte","","","","10.1007/978-3-662-06485-6","Roman CunisAndreas GünterHelmut Strecker","1991","http://link.springer.com/book/10.1007/978-3-662-06485-6","Book"
"Directions in Safety-Critical Systems","","","","","10.1007/978-1-4471-2037-7","Felix RedmillTom Anderson","1993","http://link.springer.com/book/10.1007/978-1-4471-2037-7","Book"
"S-BPM ONE - Scientific Research","Lecture Notes in Business Information Processing","","","","10.1007/978-3-319-06065-1","Alexandros NanopoulosWerner Schmidt","2014","http://link.springer.com/book/10.1007/978-3-319-06065-1","Book"
"Software Business","Lecture Notes in Business Information Processing","","","","10.1007/978-3-642-21544-5","Björn RegnellInge van de WeerdOlga De Troyer","2011","http://link.springer.com/book/10.1007/978-3-642-21544-5","Book"
"Organisation und Betrieb von Informationssystemen","Informatik-Fachberichte","","","","10.1007/978-3-642-76758-6","Günter Schwichtenberg","1991","http://link.springer.com/book/10.1007/978-3-642-76758-6","Book"
"Expertensysteme in Produktion und Engineering","IPA-IAO Forschung und Praxis","","","","10.1007/978-3-642-46745-5","Dr.-Ing. habil. H.-J. Bullinger","1991","http://link.springer.com/book/10.1007/978-3-642-46745-5","Book"
"S-BPM ONE – Scientific Research","Lecture Notes in Business Information Processing","","","","10.1007/978-3-642-29133-3","Christian Stary","2012","http://link.springer.com/book/10.1007/978-3-642-29133-3","Book"
"Software Engineering Approaches for Offshore and Outsourced Development","Lecture Notes in Business Information Processing","","","","10.1007/978-3-642-01856-5","Kay BerklingMathai JosephBertrand MeyerMartin Nordio","2009","http://link.springer.com/book/10.1007/978-3-642-01856-5","Book"
"Product-Focused Software Process Improvement","Lecture Notes in Business Information Processing","","","","10.1007/978-3-642-02152-7","Frank BomariusMarkku OivoPäivi JaringPekka Abrahamsson","2009","http://link.springer.com/book/10.1007/978-3-642-02152-7","Book"
"Information Systems for Crisis Response and Management in Mediterranean Countries","Lecture Notes in Business Information Processing","","","","10.1007/978-3-319-11818-5","Chihab HanachiFrédérick BénabenFrançois Charoy","2014","http://link.springer.com/book/10.1007/978-3-319-11818-5","Book"
"The Dynamics of Global Sourcing. Perspectives and Practices","Lecture Notes in Business Information Processing","","","","10.1007/978-3-642-33920-2","Julia KotlarskyIlan OshriLeslie P. Willcocks","2012","http://link.springer.com/book/10.1007/978-3-642-33920-2","Book"
"Software Business","Lecture Notes in Business Information Processing","","","","10.1007/978-3-642-13633-7","Pasi TyrväinenSlinger JansenMichael A. Cusumano","2010","http://link.springer.com/book/10.1007/978-3-642-13633-7","Book"
