Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Theory and Society","Theory and Society","","1 / 1974 - 51 / 2022","","","","","http://link.springer.com/journal/11186","Journal"
"Canadian Studies in Population","Canadian Studies in Population","","46 / 2019 - 49 / 2022","","","","","http://link.springer.com/journal/42650","Journal"
"Feminist Review","Feminist Review","","1 / 1979 - 120 / 2018","","","","","http://link.springer.com/journal/41305","Journal"
"East Asian Science, Technology and Society: an International Journal","East Asian Science, Technology and Society: an International Journal","","1 / 2007 - 4 / 2010","","","","","http://link.springer.com/journal/12280","Journal"
"Journal of Policy Practice and Research","Journal of Policy Practice and Research","","1 / 2020 - 3 / 2022","","","","","http://link.springer.com/journal/42972","Journal"
"Employee Responsibilities and Rights Journal","Employee Responsibilities and Rights Journal","","1 / 1988 - 34 / 2022","","","","","http://link.springer.com/journal/10672","Journal"
"Life Sciences, Society and Policy","Life Sciences, Society and Policy","","1 / 2005 - 17 / 2021","","","","","http://link.springer.com/journal/40504","Journal"
"Fudan Journal of the Humanities and Social Sciences","Fudan Journal of the Humanities and Social Sciences","","7 / 2014 - 15 / 2022","","","","","http://link.springer.com/journal/40647","Journal"
"Journal of Archaeological Research","Journal of Archaeological Research","","1 / 1993 - 30 / 2022","","","","","http://link.springer.com/journal/10814","Journal"
"Geron","Geron","","16 / 2014 - 20 / 2018","","","","","http://link.springer.com/journal/40718","Journal"
"Soziologie","Soziologie","","34 / 2005 - 36 / 2007","","","","","http://link.springer.com/journal/11617","Journal"
"Soziale Probleme","Soziale Probleme","","26 / 2015 - 32 / 2021","","","","","http://link.springer.com/journal/41059","Journal"
"Human Ecology","Human Ecology","","1 / 1973 - 50 / 2022","","","","","http://link.springer.com/journal/10745","Journal"
"Maritime Studies","Maritime Studies","","11 / 2012 - 22 / 2023","","","","","http://link.springer.com/journal/40152","Journal"
"Zeitschrift für Politikberatung","Zeitschrift für Politikberatung","","1 / 2008 - 3 / 2010","","","","","http://link.springer.com/journal/12392","Journal"
"Journal of Archaeological Method and Theory","Journal of Archaeological Method and Theory","","1 / 1994 - 29 / 2022","","","","","http://link.springer.com/journal/10816","Journal"
"Vakblad Sociaal Werk","Vakblad Sociaal Werk","","1 / 2010 - 23 / 2022","","","","","http://link.springer.com/journal/12459","Journal"
"Journal of Human Rights and Social Work","Journal of Human Rights and Social Work","","1 / 2016 - 7 / 2022","","","","","http://link.springer.com/journal/41134","Journal"
"Human Affairs","Human Affairs","","21 / 2011 - 24 / 2014","","","","","http://link.springer.com/journal/13374","Journal"
"Journal of World Prehistory","Journal of World Prehistory","","1 / 1987 - 35 / 2022","","","","","http://link.springer.com/journal/10963","Journal"
"GeoJournal","GeoJournal","","1 / 1977 - 87 / 2022","","","","","http://link.springer.com/journal/10708","Journal"
"Zeitschrift für Parlamentsfragen","Zeitschrift für Parlamentsfragen","","37 / 2006","","","","","http://link.springer.com/journal/11619","Journal"
"European Journal of Population","European Journal of Population","","1 / 1985 - 38 / 2022","","","","","http://link.springer.com/journal/10680","Journal"
"cultura & psyché","cultura & psyché","","1 / 2020 - 2 / 2021","","","","","http://link.springer.com/journal/43638","Journal"
