Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Green Energy and Networking","Lecture Notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering","","","","10.1007/978-3-030-21730-3","Jiyu JinPeng LiLei Fan","2019","http://link.springer.com/book/10.1007/978-3-030-21730-3","Book"
"Semantic Web, Ontologies and Databases","Lecture Notes in Computer Science","","","","10.1007/978-3-540-70960-2","Vassilis ChristophidesMartine CollardClaudio Gutierrez","2008","http://link.springer.com/book/10.1007/978-3-540-70960-2","Book"
"Database and Expert Systems Applications","Lecture Notes in Computer Science","","","","10.1007/978-3-642-32597-7","Stephen W. LiddleKlaus-Dieter ScheweA Min TjoaXiaofang Zhou","2012","http://link.springer.com/book/10.1007/978-3-642-32597-7","Book"
"Augmented Cognition","Lecture Notes in Computer Science","","","","10.1007/978-3-031-05457-0","Dr. Dylan D. SchmorrowCali M. Fidopiastis","2022","http://link.springer.com/book/10.1007/978-3-031-05457-0","Book"
"Internet of Vehicles. Technologies and Services Towards Smart City","Lecture Notes in Computer Science","","","","10.1007/978-3-030-05081-8","Prof. Andrzej M.J. SkulimowskiDr. Zhengguo ShengSondès Khemiri-KallelChristophe CérinChing-Hsien Hsu","2018","http://link.springer.com/book/10.1007/978-3-030-05081-8","Book"
"Web and Big Data","Lecture Notes in Computer Science","","","","10.1007/978-3-030-26072-9","Jie ShaoMan Lung YiuMasashi ToyodaDongxiang ZhangWei WangBin Cui","2019","http://link.springer.com/book/10.1007/978-3-030-26072-9","Book"
"Trends and Applications in Knowledge Discovery and Data Mining","Lecture Notes in Computer Science","","","","10.1007/978-3-642-40319-4","Jiuyong LiLongbing CaoCan WangKay Chen TanBo LiuJian PeiVincent S. Tseng","2013","http://link.springer.com/book/10.1007/978-3-642-40319-4","Book"
"Logic, Language, and Computation","Lecture Notes in Computer Science","","","","10.1007/978-3-662-54332-0","Helle Hvid HansenSarah E. MurrayMehrnoosh SadrzadehHenk Zeevat","2017","http://link.springer.com/book/10.1007/978-3-662-54332-0","Book"
"Swarm Intelligence","Lecture Notes in Computer Science","","","","10.1007/978-3-319-09952-1","Marco DorigoMauro BirattariSimon GarnierHeiko HamannMarco Montes de OcaChristine SolnonThomas Stützle","2014","http://link.springer.com/book/10.1007/978-3-319-09952-1","Book"
"Learning Technology for Education Challenges","Communications in Computer and Information Science","","","","10.1007/978-3-030-20798-4","Prof. Lorna UdenDario LiberonaGalo SanchezSara Rodríguez-González","2019","http://link.springer.com/book/10.1007/978-3-030-20798-4","Book"
"Innovations in Applied Artificial Intelligence","Lecture Notes in Computer Science","","","","10.1007/b97304","Bob OrchardChunsheng YangMoonis Ali","2004","http://link.springer.com/book/10.1007/b97304","Book"
"Advances in Visual Computing","Lecture Notes in Computer Science","","","","10.1007/978-3-030-33723-0","George BebisRichard BoyleBahram ParvinDarko KoracinDaniela UshizimaSek ChaiShinjiro SuedaXin LinAidong LuDaniel ThalmannChaoli WangPanpan Xu","2019","http://link.springer.com/book/10.1007/978-3-030-33723-0","Book"
"Analysis of Social Media and Ubiquitous Data","Lecture Notes in Computer Science","","","","10.1007/978-3-642-23599-3","Martin AtzmuellerAndreas HothoMarkus StrohmaierAlvin Chin","2011","http://link.springer.com/book/10.1007/978-3-642-23599-3","Book"
"Multiagent System Technologies","Lecture Notes in Computer Science","","","","10.1007/978-3-540-87805-6","Ralph BergmannGabriela LindemannStefan KirnMichal Pěchouček","2008","http://link.springer.com/book/10.1007/978-3-540-87805-6","Book"
"Foundations of Software Science and Computation Structures","Lecture Notes in Computer Science","","","","10.1007/978-3-030-17127-8","Prof. Mikołaj BojańczykProf. Dr. Alex Simpson","2019","http://link.springer.com/book/10.1007/978-3-030-17127-8","Book"
"Human-Computer Interaction","IFIP Advances in Information and Communication Technology","","","","10.1007/978-3-642-15231-3","Peter ForbrigFabio PaternóAnnelise Mark Pejtersen","2010","http://link.springer.com/book/10.1007/978-3-642-15231-3","Book"
"Virtual Storytelling. Using Virtual Reality Technologies for Storytelling","Lecture Notes in Computer Science","","","","10.1007/978-3-540-77039-8","Marc CavazzaStéphane Donikian","2007","http://link.springer.com/book/10.1007/978-3-540-77039-8","Book"
"Natural Language Processing – IJCNLP 2005","Lecture Notes in Computer Science","","","","10.1007/11562214","Robert DaleKam-Fai WongJian SuOi Yee Kwong","2005","http://link.springer.com/book/10.1007/11562214","Book"
"Digital Forensics and Watermarking","Lecture Notes in Computer Science","","","","10.1007/978-3-030-43575-2","Hongxia WangXianfeng ZhaoYunqing ShiHyoung Joong KimProf. Alessandro Piva","2020","http://link.springer.com/book/10.1007/978-3-030-43575-2","Book"
"Künstliche Intelligenz","Informatik-Fachberichte","","","","10.1007/978-3-642-73405-2","Thomas ChristallerHans-Werner HeinMichael M. Richter","1988","http://link.springer.com/book/10.1007/978-3-642-73405-2","Book"
"Agent Communication II","Lecture Notes in Computer Science","","","","10.1007/978-3-540-68143-4","Frank P. M. DignumRogier M. van EijkRoberto Flores","2006","http://link.springer.com/book/10.1007/978-3-540-68143-4","Book"
"Human Interface and the Management of Information: Supporting Learning, Decision-Making and Collaboration","Lecture Notes in Computer Science","","","","10.1007/978-3-319-58524-6","Sakae Yamamoto","2017","http://link.springer.com/book/10.1007/978-3-319-58524-6","Book"
"Advanced Informatics for Computing Research","Communications in Computer and Information Science","","","","10.1007/978-981-16-3660-8","Ashish Kumar LuhachProf. Dharm Singh JatProf. Kamarul Hawari Bin GhazaliProf. Dr. Xiao-Zhi GaoPawan Lingras","2021","http://link.springer.com/book/10.1007/978-981-16-3660-8","Book"
"Human-Computer Interaction – INTERACT 2013","Lecture Notes in Computer Science","","","","10.1007/978-3-642-40498-6","Paula KotzéGary MarsdenGitte LindgaardJanet WessonMarco Winckler","2013","http://link.springer.com/book/10.1007/978-3-642-40498-6","Book"
"Advances in Computational Intelligence","Lecture Notes in Computer Science","","","","10.1007/978-3-642-21501-8","Joan CabestanyIgnacio RojasGonzalo Joya","2011","http://link.springer.com/book/10.1007/978-3-642-21501-8","Book"
"Recommender Systems in Fashion and Retail","Lecture Notes in Electrical Engineering","","","","10.1007/978-3-030-66103-8","Prof. Nima DokoohakiShatha JaradatHumberto Jesús Corona PampínDr. Reza Shirvany","2021","http://link.springer.com/book/10.1007/978-3-030-66103-8","Book"
