Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Über ein Iterationsverfahren zur Einschließung der inversen Matrix","Computing","","35","2","10.1007/BF02260504","Prof. Dr. J. Herzberger","1985","http://link.springer.com/article/10.1007/BF02260504","Article"
"A bounding approach to calculating α1/p","Computing","","34","1","10.1007/BF02242176","A. M. Cohen","1985","http://link.springer.com/article/10.1007/BF02242176","Article"
"A note on a result of R. Kemp on R-typly rooted planted plane trees","Computing","","28","4","10.1007/BF02279818","H. Prodinger","1982","http://link.springer.com/article/10.1007/BF02279818","Article"
"Enclosing methods in perturbed nonlinear operator equations","Computing","","32","1","10.1007/BF02243015","Prof. Dr. J. W. SchmidtDipl.-Math. H. Schneider","1984","http://link.springer.com/article/10.1007/BF02243015","Article"
"A remark on gradual underflow","Computing","","27","3","10.1007/BF02237979","W. Miller","1981","http://link.springer.com/article/10.1007/BF02237979","Article"
"Algorithm 45. Automatic computation of improper integrals over a bounded or unbounded planar region","Computing","","27","3","10.1007/BF02237983","Dr. I. RobinsonDr. Elise de Doncker","1981","http://link.springer.com/article/10.1007/BF02237983","Article"
"The asymptotic behaviour of a distributive sorting method","Computing","","31","4","10.1007/BF02251234","Dr. W. B. van DamDr. J. B. G. FrenkProf. Dr. A. H. G. Rinnooy Kan","1983","http://link.springer.com/article/10.1007/BF02251234","Article"
"A view of programming languages as symbiosis of meaning and computations","New Generation Computing","","3","1","10.1007/BF03037116","Paul J. Voda","1985","http://link.springer.com/article/10.1007/BF03037116","Article"
"Calendar of events","New Generation Computing","","3","1","10.1007/BF03037120","","1985","http://link.springer.com/article/10.1007/BF03037120","Article"
"Piecewise linear optimization: Duality and numerical results","Computing","","27","4","10.1007/BF02277180","Dipl.-Ing. Mag. J. K. Brunner","1981","http://link.springer.com/article/10.1007/BF02277180","Article"
"The average height of r-typly rooted planted plane trees","Computing","","25","3","10.1007/BF02242000","Dr. R. Kemp","1980","http://link.springer.com/article/10.1007/BF02242000","Article"
"A Report on 1985 International Symposium on Logic Programming","New Generation Computing","","3","4","10.1007/BF03037084","Hideyuki NakashimaDoug Degroot","1985","http://link.springer.com/article/10.1007/BF03037084","Article"
