Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Link inheritance in abstract clause graphs","Journal of Automated Reasoning","","3","1","10.1007/BF00381143","Hans Jürgen Ohlbach","1987","http://link.springer.com/article/10.1007/BF00381143","Article"
"The behavior of trust-region methods in FIML-estimation","Computing","","38","2","10.1007/BF02240175","C. WeihsG. CalzolariL. Panattoni","1987","http://link.springer.com/article/10.1007/BF02240175","Article"
"Learning Decision Lists","Machine Learning","","2","3","10.1023/A:1022607331053","Ronald L. Rivest","1987","http://link.springer.com/article/10.1023/A%3A1022607331053","Article"
"The fifth generation and training strategies","Artificial Intelligence Review","","1","2","10.1007/BF00130014","R. Ennals","1987","http://link.springer.com/article/10.1007/BF00130014","Article"
"News and notes","Machine Learning","","2","1","10.1007/BF00058755","","1987","http://link.springer.com/article/10.1007/BF00058755","Article"
"On computers, translation, and Stanisław Lem","Computers and translation","","2","2 - 3","10.1007/BF02274439","Joseph Liro","1987","http://link.springer.com/article/10.1007/BF02274439","Article"
"As the generations pass...","Computers and translation","","2","2 - 3","10.1007/BF02274443","W.P.L.Thomas Loomis","1987","http://link.springer.com/article/10.1007/BF02274443","Article"
"A definiteness test for Hankel matrices and their lower submatrices","Computing","","39","1","10.1007/BF02307710","I. KoltrachtP. Lancaster","1987","http://link.springer.com/article/10.1007/BF02307710","Article"
"On the choice of the pivot columns of the Simplex-method: Gradient criteria","Computing","","38","1","10.1007/BF02253740","Dr. P. Abel","1987","http://link.springer.com/article/10.1007/BF02253740","Article"
"The practice of the use of computers","AI & SOCIETY","","1","1","10.1007/BF01905887","Bo Göranzon","1987","http://link.springer.com/article/10.1007/BF01905887","Article"
"Teflon rules ok?","AI & SOCIETY","","1","1","10.1007/BF01905891","David Smith","1987","http://link.springer.com/article/10.1007/BF01905891","Article"
"A more expressive formulation of many sorted logic","Journal of Automated Reasoning","","3","2","10.1007/BF00243207","Anthony G. Cohn","1987","http://link.springer.com/article/10.1007/BF00243207","Article"
"Book reviews","Computers and translation","","2","1","10.1007/BF01540135","Thomas LoomisJoseph Liro","1987","http://link.springer.com/article/10.1007/BF01540135","Article"
"A geometric study of parameters for the recursive midpoint subdivision","The Visual Computer","","3","3","10.1007/BF01962895","N. Magnenat-ThalmannM. BurgessL. ForestD. Thalmann","1987","http://link.springer.com/article/10.1007/BF01962895","Article"
"Margaret Masterman: In memoriam","Computers and translation","","2","4","10.1007/BF01682179","William WilliamsFrank Knowles","1987","http://link.springer.com/article/10.1007/BF01682179","Article"
"Concept-lexeme-syntax triangles: A gateway to interlingual translation","Computers and translation","","2","4","10.1007/BF01682183","Jonathan Slocum","1987","http://link.springer.com/article/10.1007/BF01682183","Article"
"Machine learning and concept formation","Machine Learning","","2","2","10.1007/BF00114263","Pat Langley","1987","http://link.springer.com/article/10.1007/BF00114263","Article"
"Editor's note","Journal of Automated Reasoning","","3","1","10.1007/BF00381145","Larry Wos","1987","http://link.springer.com/article/10.1007/BF00381145","Article"
"Successive overrelaxation method with projection for finite element solutions of nonlinear radiation cooling problems","Computing","","38","2","10.1007/BF02240177","Dr. Kazuo Ishihara","1987","http://link.springer.com/article/10.1007/BF02240177","Article"
"Smooth approximation of data on the sphere with splines","Computing","","38","2","10.1007/BF02240181","Dr. C. R. Traas","1987","http://link.springer.com/article/10.1007/BF02240181","Article"
"The context of machine translation","Computers and translation","","2","2 - 3","10.1007/BF02274445","Winfred P. Lehmann","1987","http://link.springer.com/article/10.1007/BF02274445","Article"
"Numerical realization of an optimal discrepancy principle for Tikhonov-regularization in Hilbert scales","Computing","","39","1","10.1007/BF02307712","A. Neubauer","1987","http://link.springer.com/article/10.1007/BF02307712","Article"
"Research Papers in Machine Learning","Machine Learning","","2","3","10.1023/A:1022603230145","Pat Langley","1987","http://link.springer.com/article/10.1023/A%3A1022603230145","Article"
"A new approach to optimal B-convergence","Computing","","38","1","10.1007/BF02253742","Dr. J. Schneid","1987","http://link.springer.com/article/10.1007/BF02253742","Article"
"Natural language interfaces and strategic computing","AI & SOCIETY","","1","1","10.1007/BF01905889","Geoffrey K. Pullum","1987","http://link.springer.com/article/10.1007/BF01905889","Article"
"AI Bridges and dreams","AI & SOCIETY","","1","1","10.1007/BF01905893","Alan Bundy","1987","http://link.springer.com/article/10.1007/BF01905893","Article"
"Some experiments in nonassociative ring theory with an automated theorem prover","Journal of Automated Reasoning","","3","2","10.1007/BF00243209","Rick L. Stevens","1987","http://link.springer.com/article/10.1007/BF00243209","Article"
"Real time virtual window management for bit mapped raster graphics","The Visual Computer","","3","3","10.1007/BF01962897","Sener IlgenIsaac D. Scherson","1987","http://link.springer.com/article/10.1007/BF01962897","Article"
"A Version Space Approach to Learning Context-free Grammars","Machine Learning","","2","1","10.1023/A:1022812926936","Kurt VanlehnWilliam Ball","1987","http://link.springer.com/article/10.1023/A%3A1022812926936","Article"
"Editorial","The Visual Computer","","3","1","10.1007/BF02153644","","1987","http://link.springer.com/article/10.1007/BF02153644","Article"
"Two-level data banks for translators","Computers and translation","","2","4","10.1007/BF01682185","Jean A. Vaumoron","1987","http://link.springer.com/article/10.1007/BF01682185","Article"
"Adding equality to semantic tableaux","Journal of Automated Reasoning","","3","3","10.1007/BF00243790","S. V. Reeves","1987","http://link.springer.com/article/10.1007/BF00243790","Article"
"Knowledge acquisition via incremental conceptual clustering","Machine Learning","","2","2","10.1007/BF00114265","Douglas H. Fisher","1987","http://link.springer.com/article/10.1007/BF00114265","Article"
