Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Distributed Computing and Internet Technology","Lecture Notes in Computer Science","","","","10.1007/978-3-642-11659-9","Tomasz JanowskiHrushikesha Mohanty","2010","http://link.springer.com/book/10.1007/978-3-642-11659-9","Book"
"Computer Algebra in Scientific Computing","Lecture Notes in Computer Science","","","","10.1007/978-3-030-26831-2","Dr. Matthew EnglandWolfram KoepfTimur M. SadykovWerner M. SeilerEvgenii V. Vorozhtsov","2019","http://link.springer.com/book/10.1007/978-3-030-26831-2","Book"
"Compiler Construction","Lecture Notes in Computer Science","","","","10.1007/978-3-662-46663-6","Björn Franke","2015","http://link.springer.com/book/10.1007/978-3-662-46663-6","Book"
"Innovations in Applied Artificial Intelligence","Lecture Notes in Computer Science","","","","10.1007/b97304","Bob OrchardChunsheng YangMoonis Ali","2004","http://link.springer.com/book/10.1007/b97304","Book"
"Middleware 2013","Lecture Notes in Computer Science","","","","10.1007/978-3-642-45065-5","David EyersKarsten Schwan","2013","http://link.springer.com/book/10.1007/978-3-642-45065-5","Book"
"Multiagent System Technologies","Lecture Notes in Computer Science","","","","10.1007/978-3-540-87805-6","Ralph BergmannGabriela LindemannStefan KirnMichal Pěchouček","2008","http://link.springer.com/book/10.1007/978-3-540-87805-6","Book"
"System Analysis and Modeling: Models and Reusability","Lecture Notes in Computer Science","","","","10.1007/978-3-319-11743-0","Daniel AmyotPau Fonseca i CasasGunter Mussbacher","2014","http://link.springer.com/book/10.1007/978-3-319-11743-0","Book"
"Requirements Engineering: Foundation for Software Quality","Lecture Notes in Computer Science","","","","10.1007/978-3-319-54045-0","Paul GrünbacherAnna Perini","2017","http://link.springer.com/book/10.1007/978-3-319-54045-0","Book"
"Agent Communication II","Lecture Notes in Computer Science","","","","10.1007/978-3-540-68143-4","Frank P. M. DignumRogier M. van EijkRoberto Flores","2006","http://link.springer.com/book/10.1007/978-3-540-68143-4","Book"
"Advances in Computing and Information — ICCI '90","Lecture Notes in Computer Science","","","","10.1007/3-540-53504-7","S. G. AklF. FialaW. W. Koczkodaj","1990","http://link.springer.com/book/10.1007/3-540-53504-7","Book"
"Human-Computer Interaction – INTERACT 2013","Lecture Notes in Computer Science","","","","10.1007/978-3-642-40498-6","Paula KotzéGary MarsdenGitte LindgaardJanet WessonMarco Winckler","2013","http://link.springer.com/book/10.1007/978-3-642-40498-6","Book"
"Formal Techniques for Networked and Distributed Systems – FORTE 2007","Lecture Notes in Computer Science","","","","10.1007/978-3-540-73196-2","John DerrickJüri Vain","2007","http://link.springer.com/book/10.1007/978-3-540-73196-2","Book"
"SOFSEM 2007: Theory and Practice of Computer Science","Lecture Notes in Computer Science","","","","10.1007/978-3-540-69507-3","Jan van LeeuwenGiuseppe F. ItalianoWiebe van der HoekChristoph MeinelHarald SackFrantišek Plášil","2007","http://link.springer.com/book/10.1007/978-3-540-69507-3","Book"
"Communication and Networking","Communications in Computer and Information Science","","","","10.1007/978-3-642-17604-3","Tai-hoon KimThanos VasilakosKouichi SakuraiYang XiaoGansen ZhaoDominik Ślęzak","2010","http://link.springer.com/book/10.1007/978-3-642-17604-3","Book"
"Web Services and Formal Methods","Lecture Notes in Computer Science","","","","10.1007/978-3-642-01364-5","Roberto BruniKarsten Wolf","2009","http://link.springer.com/book/10.1007/978-3-642-01364-5","Book"
"Verified Software. Theories, Tools, and Experiments","Lecture Notes in Computer Science","","","","10.1007/978-3-319-72308-2","Andrei PaskevichThomas Wies","2017","http://link.springer.com/book/10.1007/978-3-319-72308-2","Book"
"Trusted Computing","Lecture Notes in Computer Science","","","","10.1007/978-3-642-00587-9","Liqun ChenChris J. MitchellAndrew Martin","2009","http://link.springer.com/book/10.1007/978-3-642-00587-9","Book"
"Programming Languages","Lecture Notes in Computer Science","","","","10.1007/978-3-319-45279-1","Fernando CastorYu David Liu","2016","http://link.springer.com/book/10.1007/978-3-319-45279-1","Book"
"Multi-Agent Systems and Agreement Technologies","Lecture Notes in Computer Science","","","","10.1007/978-3-030-01713-2","Francesco BelardinelliEstefanía Argente","2018","http://link.springer.com/book/10.1007/978-3-030-01713-2","Book"
"Theoretical Aspects of Computing - ICTAC 2015","Lecture Notes in Computer Science","","","","10.1007/978-3-319-25150-9","Martin LeuckerCamilo RuedaFrank D. Valencia","2015","http://link.springer.com/book/10.1007/978-3-319-25150-9","Book"
"Design Science at the Intersection of Physical and Virtual Design","Lecture Notes in Computer Science","","","","10.1007/978-3-642-38827-9","Jan vom BrockeRiitta HekkalaSudha RamMatti Rossi","2013","http://link.springer.com/book/10.1007/978-3-642-38827-9","Book"
"Functional Programming, Glasgow 1991","Workshops in Computing","","","","10.1007/978-1-4471-3196-0","Rogardt Heldal BScCarsten Kehler Holst cand. Scient.Philip Wadler PhD","1992","http://link.springer.com/book/10.1007/978-1-4471-3196-0","Book"
"Unifying Theories of Programming","Lecture Notes in Computer Science","","","","10.1007/978-3-642-14521-6","Andrew Butterfield","2010","http://link.springer.com/book/10.1007/978-3-642-14521-6","Book"
"Computational Science and Its Applications -- ICCSA 2015","Lecture Notes in Computer Science","","","","10.1007/978-3-319-21413-9","Osvaldo GervasiBeniamino MurganteSanjay MisraMarina L. GavrilovaAna Maria Alves Coutinho RochaCarmelo TorreDavid TaniarBernady O. Apduhan","2015","http://link.springer.com/book/10.1007/978-3-319-21413-9","Book"
"Dependable Computing EDCC-4","Lecture Notes in Computer Science","","","","10.1007/3-540-36080-8","Andrea BondavalliPascale Thevenod-Fosse","2002","http://link.springer.com/book/10.1007/3-540-36080-8","Book"
"Practical Aspects of Declarative Languages","Lecture Notes in Computer Science","","","","10.1007/b105205","Manuel V. HermenegildoDaniel Cabeza","2005","http://link.springer.com/book/10.1007/b105205","Book"
"Advances in Service-Oriented and Cloud Computing","Communications in Computer and Information Science","","","","10.1007/978-3-642-45364-9","Carlos CanalMassimo Villari","2013","http://link.springer.com/book/10.1007/978-3-642-45364-9","Book"
"Making Systems Safer","","","","","10.1007/978-1-84996-086-1","Chris DaleTom Anderson","2010","http://link.springer.com/book/10.1007/978-1-84996-086-1","Book"
"Multiple Access Communications","Lecture Notes in Computer Science","","","","10.1007/978-3-642-15428-7","Alexey VinelBoris BellaltaClaudio SacchiAndrey LyakhovMiklós TelekMiquel Oliver","2010","http://link.springer.com/book/10.1007/978-3-642-15428-7","Book"
"CONCUR 2010 - Concurrency Theory","Lecture Notes in Computer Science","","","","10.1007/978-3-642-15375-4","Paul GastinFrançois Laroussinie","2010","http://link.springer.com/book/10.1007/978-3-642-15375-4","Book"
"Tests and Proofs","Lecture Notes in Computer Science","","","","10.1007/978-3-540-79124-9","Bernhard BeckertReiner Hähnle","2008","http://link.springer.com/book/10.1007/978-3-540-79124-9","Book"
"Formal Aspects of Component Software","Lecture Notes in Computer Science","","","","10.1007/978-3-030-40914-2","Prof. Farhad ArbabDr. Sung-Shik Jongmans","2020","http://link.springer.com/book/10.1007/978-3-030-40914-2","Book"
"Engineering Self-Organising Systems","Lecture Notes in Computer Science","","","","10.1007/11734697","Sven A. BruecknerGiovanna Di Marzo SerugendoDavid HalesFranco Zambonelli","2006","http://link.springer.com/book/10.1007/11734697","Book"
"Convergence and Hybrid Information Technology","Communications in Computer and Information Science","","","","10.1007/978-3-642-24106-2","Geuk LeeDaniel HowardDominik Ślęzak","2011","http://link.springer.com/book/10.1007/978-3-642-24106-2","Book"
"Tools and Algorithms for the Construction and Analysis of Systems","Lecture Notes in Computer Science","","","","10.1007/BFb0054159","Bernhard Steffen","1998","http://link.springer.com/book/10.1007/BFb0054159","Book"
"Tests and Proofs","Lecture Notes in Computer Science","","","","10.1007/978-3-030-31157-5","Dirk BeyerChantal Keller","2019","http://link.springer.com/book/10.1007/978-3-030-31157-5","Book"
"Design and Implementation of Symbolic Computation Systems","Lecture Notes in Computer Science","","","","10.1007/BFb0013162","Alfonso Miola","1993","http://link.springer.com/book/10.1007/BFb0013162","Book"
"Interactive Theorem Proving","Lecture Notes in Computer Science","","","","10.1007/978-3-319-22102-1","Christian UrbanXingyuan Zhang","2015","http://link.springer.com/book/10.1007/978-3-319-22102-1","Book"
"Software Measurement","Lecture Notes in Business Information Processing","","","","10.1007/978-3-319-24285-9","Andrzej KobylińskiBeata Czarnacka-ChrobotJaroslaw Świerczek","2015","http://link.springer.com/book/10.1007/978-3-319-24285-9","Book"
"Recent Trends in Data Type Specification","Informatik-Fachberichte","","","","10.1007/978-3-662-09691-8","Hans-Jörg Kreowski","1985","http://link.springer.com/book/10.1007/978-3-662-09691-8","Book"
"Temporal Logic in Specification","Lecture Notes in Computer Science","","","","10.1007/3-540-51803-7","B. BanieqbalH. BarringerA. Pnueli","1989","http://link.springer.com/book/10.1007/3-540-51803-7","Book"
"Human-Computer Interaction – INTERACT 2013","Lecture Notes in Computer Science","","","","10.1007/978-3-642-40477-1","Paula KotzéGary MarsdenGitte LindgaardJanet WessonMarco Winckler","2013","http://link.springer.com/book/10.1007/978-3-642-40477-1","Book"
"Scientific Engineering of Distributed Java Applications","Lecture Notes in Computer Science","","","","10.1007/b95352","Nicolas GuelfiEgidio AstesianoGianna Reggio","2004","http://link.springer.com/book/10.1007/b95352","Book"
"NETWORKING 2007. Ad Hoc and Sensor Networks, Wireless Networks, Next Generation Internet","Lecture Notes in Computer Science","","","","10.1007/978-3-540-72606-7","Ian F. AkyildizRaghupathy SivakumarEylem EkiciJaudelice Cavalcante de OliveiraJanise McNair","2007","http://link.springer.com/book/10.1007/978-3-540-72606-7","Book"
"Intelligent Software Methodologies, Tools and Techniques","Communications in Computer and Information Science","","","","10.1007/978-3-319-17530-0","Hamido FujitaAli Selamat","2015","http://link.springer.com/book/10.1007/978-3-319-17530-0","Book"
"Formal Methods for Open Object-Based Distributed Systems","Lecture Notes in Computer Science","","","","10.1007/11768869","Roberto GorrieriHeike Wehrheim","2006","http://link.springer.com/book/10.1007/11768869","Book"
"Coordination Models and Languages","Lecture Notes in Computer Science","","","","10.1007/b135676","Jean-Marie JacquetGian Pietro Picco","2005","http://link.springer.com/book/10.1007/b135676","Book"
"Building Interactive Systems","Workshops in Computing","","","","10.1007/978-1-4471-3548-7","Philip Gray MScRoger Took PhD","1992","http://link.springer.com/book/10.1007/978-1-4471-3548-7","Book"
